127.0.0.1 - - [18/Jan/2015:19:50:00 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:02 +0530] "GET /LeaveModule/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:02 +0530] "GET /LeaveModule/js/common.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:02 +0530] "GET /LeaveModule/userLogin.do HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:02 +0530] "GET /LeaveModule/css/table.css HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:02 +0530] "GET /LeaveModule/css/style.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:14 +0530] "POST /LeaveModule/validateUser.do HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:14 +0530] "GET /LeaveModule/js/workingdays.js HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:14 +0530] "GET /LeaveModule/js/calendar.js HTTP/1.1" 200 7582
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:14 +0530] "GET /LeaveModule/css/calendar.css HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:14 +0530] "GET /LeaveModule/calender.png HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:38 +0530] "GET /LeaveModule/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:44 +0530] "GET /LeaveModule/js/common.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:44 +0530] "GET /LeaveModule/userLogin.do HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:45 +0530] "GET /LeaveModule/css/table.css HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:45 +0530] "GET /LeaveModule/css/style.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:55 +0530] "POST /LeaveModule/validateUser.do HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:55 +0530] "GET /LeaveModule/js/calendar.js HTTP/1.1" 200 7582
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:55 +0530] "GET /LeaveModule/css/calendar.css HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:55 +0530] "GET /LeaveModule/calender.png HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:50:55 +0530] "GET /LeaveModule/js/workingdays.js HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [18/Jan/2015:19:51:48 +0530] "POST /LeaveModule/applyLeave.do HTTP/1.1" 200 5262
